Service_Name (filename2),provider_name (filename1),Physical_Address (filename2),formatted_address (filename1),residential_places (filename2),residential_places (filename1)
Mornington Bay Care Community,Mornington Bay Care Community,"185 Racecourse ROAD, MOUNT MARTHA, VIC, 3934","185 Racecourse Rd, Mount Martha VIC 3934, Australia",140,140
Arcare Kanwal,Arcare Kanwal,"2 Pearce ROAD, KANWAL, NSW, 2259","2 Pearce Rd, Kanwal NSW 2259, Australia",140,140
Aegis Ellenvale,Aegis Ellenvale,"Cnr Broadwater Blvd & Bell Dr BROADWATER, WA, 6280","99 Broadwater Blvd, Broadwater WA 6280, Australia",140,140
Mercy Place Parkville,Mercy Place Parkville,"1 William STREET, PARKVILLE, VIC, 3052","1 William St, Parkville VIC 3052, Australia",140,140
Bolton Clarke The Ormsby,Bolton Clarke The Ormsby,"112 Burnett STREET, BUDERIM, QLD, 4556","112 Burnett St, Buderim QLD 4556, Australia",140,140
St Vincent's Care Douglas,Ozcare Douglas,"291 Angus Smith DRIVE, DOUGLAS, QLD, 4814","291 Angus Smith Dr, Douglas QLD 4814, Australia",140,140
Advantaged Care at Edensor Gardens,Advantaged Care at Edensor Gardens,"39 Sweethaven ROAD, EDENSOR PARK, NSW, 2176","39 Sweethaven Rd, Edensor Park NSW 2176, Australia",140,140
Regis Lutwyche,Regis Lutwyche,"8-10 Perry STREET, LUTWYCHE, QLD, 4030","10 Perry St, Lutwyche QLD 4030, Australia",140,140
Anglicare Farrer Brown Court,Anglicare Farrer Brown Court,"284 Castle Hill ROAD, CASTLE HILL, NSW, 2154","208 David Rd, Castle Hill NSW 2154, Australia",139,139
BaptistCare Bethshan Gardens Centre,BaptistCare Bethshan Gardens Centre,"30 Forest ROAD, WYEE, NSW, 2259","30 Forest Rd, Wyee NSW 2259, Australia",139,139
Bupa Greenacre,Bupa Greenacre,"171 Boronia ROAD, GREENACRE, NSW, 2190","Bupa at Greenacre, 171 Boronia Rd, Greenacre NSW 2190, Australia",139,139
Bill McKenzie Gardens,Bill McKenzie Gardens,"23 Burkitt STREET, PAGE, ACT, 2614","23 Burkitt St, Page ACT 2614, Australia",139,139
Regis Port Coogee,Regis Port Coogee,"72 Pantheon AVENUE, NORTH COOGEE, WA, 6163","72 Pantheon Ave, North Coogee WA 6163, Australia",139,139
McLean Care Ltd,McLean Care Ltd,"67 Killean STREET, INVERELL, NSW, 2360","67 Killean St, Inverell NSW 2360, Australia",138,138
mecwacare Noel Miller Centre,mecwacare Noel Miller Centre,"9-15 Kent STREET, GLEN IRIS, VIC, 3146","Noel Miller Centre, 9-15 Kent St, Glen Iris VIC 3146, Australia",138,138
Marebello,Marebello,"537 Cleveland-Redland Bay ROAD, VICTORIA POINT, QLD, 4165","537 Cleveland-Redland Bay Rd, Victoria Point QLD 4165, Australia",138,138
Craigcare Moonee Ponds,Craigcare Moonee Ponds,"88 Holmes ROAD, MOONEE PONDS, VIC, 3039","88 Holmes Rd, Moonee Ponds VIC 3039, Australia",138,138
Aegis Amherst,Aegis Amherst,"75 Amherst ROAD, CANNING VALE, WA, 6155","75 Amherst Rd, Canning Vale WA 6155, Australia",138,138
Skye Lodge,Skye Lodge,"175 McMahons ROAD, FRANKSTON, VIC, 3199","175 Mcmahons Rd, Frankston VIC 3199, Australia",138,138
Lake Cathie Manor Aged Care,Lake Cathie Manor Aged Care,"1379 Ocean DRIVE, LAKE CATHIE, NSW, 2445","2 Saltwater Pl, Lake Cathie NSW 2445, Australia",138,138
Oxley Grove Care Community,Oxley Grove Care Community,"276 Blunder ROAD, DURACK, QLD, 4077","270 Blunder Rd, Durack QLD 4077, Australia",137,137
Ozcare Keith Turnbull Place,Ozcare Keith Turnbull Place,"52 Imperial PARADE, LABRADOR, QLD, 4215","Ozanam Villa, 52 Imperial Parade, Labrador QLD 4215, Australia",137,137
ACH Group Residential Care - Kapara,ACH Group Residential Care - Kapara,"80 MOSELEY STREET, GLENELG SOUTH, SA, 5045","Kapara Mews, 80 Moseley St, Glenelg South SA 5045, Australia",137,137
Eldercare Hope Valley,Eldercare Hope Valley,"95-97 Awoonga ROAD, HOPE VALLEY, SA, 5090","Ananda Residential Care, 95-97 Awoonga Rd, Hope Valley SA 5090, Australia",137,137
Olivet Aged Persons Home,Olivet Aged Persons Home,"7 Rupert STREET, RINGWOOD, VIC, 3134","7 Rupert St, Ringwood VIC 3134, Australia",137,137
The Queen Victoria Home,The Queen Victoria Home,"13 Milford STREET, LINDISFARNE, TAS, 7015","13 Milford St, Lindisfarne TAS 7015, Australia",137,137
Bolton Clarke Seaton Place,Bolton Clarke Seaton Place,"111 Smith STREET, CLEVELAND, QLD, 4163","111 Smith St, Cleveland QLD 4163, Australia",137,137
Water Gardens,Aeralife Watergardens,"352 Sydenham ROAD, SYDENHAM, VIC, 3037","352 Sydenham Rd, Sydenham VIC 3037, Australia",137,137
Springwood Terrace Care Community,Springwood Terrace Care Community,"266 Parfrey ROAD, SPRINGWOOD, QLD, 4127","266 Parfrey Rd, Springwood QLD 4127, Australia",137,137
Uniting Osborne Nowra,Uniting Osborne Nowra,"54-60 Osborne STREET, NOWRA, NSW, 2541","54-60 Osborne St, Nowra NSW 2541, Australia",136,136
Uniting Springwood,Uniting Springwood,"2 Lewin STREET, SPRINGWOOD, NSW, 2777","2 Lewin St, Springwood NSW 2777, Australia",136,136
Ferndale Gardens Aged Care Facility,Ferndale Gardens Aged Care Facility,"33 Jersey AVENUE, MORTDALE, NSW, 2223","33 Jersey Ave, Mortdale NSW 2223, Australia",136,136
Estia Health Craigmore,Estia Health Craigmore,"150 Adams ROAD, CRAIGMORE, SA, 5114","Sandringham Resid Care, 150 Adams Rd, Craigmore SA 5114, Australia",136,136
Coolibah Care,Coolibah Care,"30 Third AVENUE, MANDURAH, WA, 6210","30 Third Ave, Mandurah WA 6210, Australia",136,136
Aegis Hilton Park,Aegis Hilton Park,"19 Laidlaw STREET, HILTON, WA, 6163","19 Laidlaw St, Hilton WA 6163, Australia",136,136
Regis Salisbury,Regis Salisbury,"279 Lillian AVENUE, SALISBURY, QLD, 4107","279 Lillian Ave, Salisbury QLD 4107, Australia",136,136
Calvary St Joseph's Retirement Community,Calvary St Joseph's Retirement Community,"240 Maitland ROAD, SANDGATE, NSW, 2304","240 Maitland Rd, Sandgate NSW 2304, Australia",136,136
Barossa Park Lodge,Barossa Park Lodge,"17 a Clydesdale AVENUE, GLENORCHY, TAS, 7010","17A Clydesdale Ave, Glenorchy TAS 7010, Australia",136,136
Ashfield Terrace Care Community,Ashfield Terrace Care Community,"8-10 Clissold STREET, ASHFIELD, NSW, 2131","8-10 Clissold St, Ashfield NSW 2131, Australia",135,135
Regis Tiwi,Regis Tiwi,"11 Creswell STREET, TIWI, NT, 0810","11 Creswell St, Tiwi NT 0810, Australia",135,135
Aegis Stirling,Aegis Stirling,"32 Spencer AVENUE, YOKINE, WA, 6060","32 Spencer Ave, Yokine WA 6060, Australia",135,135
St Vincent's Care Services Maroochydore,St Vincent's Care Services Maroochydore,"37 Baden Powell STREET, MAROOCHYDORE, QLD, 4558","37 Baden Powell St, Maroochydore QLD 4558, Australia",135,135
St Vincent's Care Services Kew,St Vincent's Care Services Kew,"104 Studley Park ROAD, KEW, VIC, 3101","104 Studley Park Rd, Kew VIC 3101, Australia",135,135
Blue Haven Bonaira,Blue Haven Bonaira,"14 Bonaira STREET, KIAMA, NSW, 2533","14A Bonaira St, Kiama NSW 2533, Australia",134,134
Uniting The Marion Leichhardt,Uniting The Marion Leichhardt,"237 Marion STREET, LEICHHARDT, NSW, 2040","The Marion, 237 Marion St, Leichhardt NSW 2040, Australia",134,134
Uniting Hawkesbury Richmond,Uniting Hawkesbury Richmond,"23-25 Chapel STREET, RICHMOND, NSW, 2753","Hawkesbury Village, 23 Chapel St, Richmond NSW 2753, Australia",134,134
Blacktown Nursing Home,Blacktown Nursing Home,"190 Stephen STREET, BLACKTOWN, NSW, 2148","190 Stephen St, Blacktown NSW 2148, Australia",134,134
Churches of Christ Oak Towers Aged Care Service,Churches of Christ Oak Towers Aged Care Service,"139 Atherton ROAD, OAKLEIGH, VIC, 3166","139 Atherton Rd, Oakleigh VIC 3166, Australia",134,134
Westmont Homestead,Westmont Homestead,"265 Baranduda BOULEVARD, BARANDUDA, VIC, 3691","265 Baranduda Blvd, Baranduda VIC 3691, Australia",134,134
Torbay,Torbay,"43 Exeter STREET, TORQUAY, QLD, 4655","43 Exeter St, Torquay QLD 4655, Australia",134,134
Regis The Gap,Regis The Gap,"6 Kilbowie STREET, THE GAP, QLD, 4061","6 Kilbowie St, The Gap QLD 4061, Australia",134,134
Alwyndor Aged Care,Alwyndor Aged Care,"52 Dunrobin ROAD, HOVE, SA, 5048","52 Dunrobin Rd, Hove SA 5048, Australia",134,134
Calvary Sandhill,Calvary Sandhill,"25 Waveney STREET, SOUTH LAUNCESTON, TAS, 7249","25 Waveney St, South Launceston TAS 7249, Australia",134,134
Hill View House - Merrimac,Hill View House - Merrimac,"239 Gooding DRIVE, MERRIMAC, QLD, 4226","239 Gooding Dr, Merrimac QLD 4226, Australia",134,134
Arcare North Lakes,Arcare North Lakes,"60 ENDEAVOUR BOULEVARD, NORTH LAKES, QLD, 4509","Arcare on Endeavour, 65 Endeavour Blvd, North Lakes QLD 4509, Australia",134,134
BlueCross Scotchmans Creek,Mount Waverley Glades Care Community,"444-454 Waverley ROAD, MOUNT WAVERLEY, VIC, 3149","450 Waverley Rd, Mount Waverley VIC 3149, Australia",134,134
Infinite Care Mount Lofty,Infinite Care Mount Lofty,"69 Stuart STREET, HARLAXTON, QLD, 4350","69 Stuart St, Harlaxton QLD 4350, Australia",134,134
Aegis Shorehaven,Aegis Shorehaven,"49 Scotthorn DRIVE, ALKIMOS, WA, 6038","49 Scotthorn Dr, Alkimos WA 6038, Australia",134,134
The Queenslea,The Queenslea,"2 Shenton ROAD, CLAREMONT, WA, 6010","1 Shenton Rd, Claremont WA 6010, Australia",134,134
Wahroonga House,Wahroonga House,"31 Pacific HIGHWAY, WAHROONGA, NSW, 2076","Nursing Home, 31 Pacific Hwy, Wahroonga NSW 2076, Australia",133,133
St Hedwig Village,St Hedwig Village,"140 Reservoir ROAD, BLACKTOWN, NSW, 2148","140 Reservoir Rd, Arndell Park NSW 2148, Australia",133,133
Bolton Clarke Capella Bay,Bolton Clarke Capella Bay,"260 Old Cleveland ROAD,  EAST, CAPALABA, QLD, 4157","260 Old Cleveland Rd E, Capalaba QLD 4157, Australia",133,133
Infinite Care Cornubia,Infinite Care Cornubia,"144 Beenleigh-Redland Bay ROAD, CORNUBIA, QLD, 4130","144 Beenleigh Redland Bay Rd, Cornubia QLD 4130, Australia",133,133
Bolton Clarke Farnorha,Bolton Clarke Farnorha,"257-281 Lyons STREET, WESTCOURT, QLD, 4870","257-281 Lyons St, Westcourt QLD 4870, Australia",132,132
Regis Lodges on George,Regis Lodges on George,"54 Henzell STREET, KIPPA-RING, QLD, 4021","109 George St, Kippa-Ring QLD 4021, Australia",132,132
Bolton Clarke Cazna Gardens,Bolton Clarke Cazna Gardens,"465 Hellawell ROAD, SUNNYBANK HILLS, QLD, 4109","465 Hellawell Rd, Sunnybank Hills QLD 4109, Australia",132,132
Bolton Clarke Ridgehaven,Bolton Clarke Ridgehaven,"3 HAZEL GROVE, RIDGEHAVEN, SA, 5097","3 Hazel Grove, Ridgehaven SA 5097, Australia",132,132
Resthaven Paradise,Resthaven Paradise,"61 Silkes ROAD, PARADISE, SA, 5075","61 Silkes Rd, Paradise SA 5075, Australia",132,132
Applecross Shore Care Community,Applecross Shore Care Community,"30 Carron ROAD, APPLECROSS, WA, 6153","Riverway, Applecross WA 6153, Australia",132,132
Rosary Gardens,Rosary Gardens,"85 Creek ROAD, NEW TOWN, TAS, 7008","85 Creek Rd, New Town TAS 7008, Australia",132,132
Warrigal Care Queanbeyan,Warrigal Care Queanbeyan,"111 Campbell STREET, QUEANBEYAN, NSW, 2620","111 Campbell St, Queanbeyan NSW 2620, Australia",132,132
Villa Maria Catholic Homes Corpus Christi Aged Care Residence,Villa Maria Catholic Homes Corpus Christi Aged Car,"80 Clayton ROAD, CLAYTON, VIC, 3168","80 Clayton Rd, Clayton VIC 3168, Australia",132,132
Moran Roxburgh Park,Moran Roxburgh Park,"3 Wedgewood ROAD, ROXBURGH PARK, VIC, 3064","3 Wedgewood Rd, Roxburgh Park VIC 3064, Australia",132,132
Advantaged Care at Prestons Lodge,Advantaged Care at Prestons Lodge,"18 Melaleuca PLACE, PRESTONS, NSW, 2170","9 Melaleuca Pl, Prestons NSW 2170, Australia",132,132
Arcare Warriewood,Arcare Warriewood,"23-27 Warriewood ROAD, WARRIEWOOD, NSW, 2102","23 Warriewood Rd, Warriewood NSW 2102, Australia",132,132
Our Lady Of Consolation Nursing Home,Our Lady Of Consolation Nursing Home,"32 Evans ROAD, ROOTY HILL, NSW, 2766","32 Evans Rd, Rooty Hill NSW 2766, Australia",131,131
Estia Health Merrylands,Estia Health Merrylands,"42 Cumberland ROAD, GREYSTANES, NSW, 2145","Merrylands Aged Care Cntr, 42 Cumberland Rd, Greystanes NSW 2145, Australia",131,131
Carinya Home For The Aged,Carinya Home For The Aged,"1 Mills STREET, ATHERTON, QLD, 4883","1 Mills St, Atherton QLD 4883, Australia",131,131
Baptcare - Karana Community,Baptcare - Karana Community,"55 Walpole STREET, KEW, VIC, 3101","55 Walpole St, Kew VIC 3101, Australia",131,131
Brightwater The Cove,Brightwater The Cove,"35 Hudson DRIVE, DUDLEY PARK, WA, 6210","Brightwater Care Group, 35 Hudson Dr, Dudley Park WA 6210, Australia",131,131
Harbour Quays Residential Aged Care,Harbour Quays Residential Aged Care,"36 Compass DRIVE, BIGGERA WATERS, QLD, 4216","36 Compass Dr, Biggera Waters QLD 4216, Australia",131,131
Warrigal Care Shell Cove,Warrigal Care Shell Cove,"50 Harbour BOULEVARD, SHELL COVE, NSW, 2529","50 Harbour Blvd, Shell Cove NSW 2529, Australia",131,131
SwanCare Ningana,SwanCare Ningana,"3 Allen COURT, BENTLEY, WA, 6102","3 Allen Ct, Bentley WA 6102, Australia",131,131
Macquarie Lodge Aged Care Plus Centre,Macquarie Lodge Aged Care Plus Centre,"171 Wollongong ROAD, ARNCLIFFE, NSW, 2205","Macquarie Lodge Indpndnt, 171 Wollongong Rd, Arncliffe NSW 2205, Australia",130,130
Catholic Healthcare Jemalong Residential Village,Catholic Healthcare Jemalong Residential Village,"240 Edward STREET, FORBES, NSW, 2871","240 Edward St, Forbes NSW 2871, Australia",130,130
BaptistCare Warena Centre,BaptistCare Warena Centre,"15 Bangaroo STREET, BANGOR, NSW, 2234","Warena Village, 15 Bangaroo St, Bangor NSW 2234, Australia",130,130
Moran Stockton,Moran Stockton,"2 Chester STREET, STOCKTON, NSW, 2295","2 Chester St, Stockton NSW 2295, Australia",130,130
SummitCare St Marys,SummitCare St Marys,"57 Saddington STREET, ST MARYS, NSW, 2760","57 Saddington St, St Marys NSW 2760, Australia",130,130
St Josephs Nursing Home,St Josephs Nursing Home,"20 Dalley STREET, EAST LISMORE, NSW, 2480","St. Vincents Private Hospital, 20 Dalley St, East Lismore NSW 2480, Australia",130,130
Denhams Beach Care Community,Denhams Beach Care Community,"269 Beach ROAD, DENHAMS BEACH, NSW, 2536","Edgewood Park Nursing Hme, 269 Beach Rd, Denhams Beach NSW 2536, Australia",130,130
Noble Gardens Residential Aged Care,Noble Gardens Residential Aged Care,"55 Thomas STREET, NOBLE PARK, VIC, 3174","55 Thomas St, Noble Park VIC 3174, Australia",130,130
Regis Whitfield,Regis Whitfield,"82-120 Mcmanus STREET, WHITFIELD, QLD, 4870","Masonic Care Qld, 82-120 McManus St, Whitfield QLD 4870, Australia",130,130
Michael Lee Centre,Michael Lee Centre,"80-82 Henley STREET, COMO, WA, 6152","80-82 Henley St, Como WA 6152, Australia",130,130
Aurrum Reservoir,Estia Health Reservoir,"1 Aberdeen STREET, RESERVOIR, VIC, 3073","1 Aberdeen St, Reservoir VIC 3073, Australia",130,130
Somerville Gardens Care Community,Somerville Gardens Care Community,"22 Graf ROAD, SOMERVILLE, VIC, 3912","22 Graf Rd, Somerville VIC 3912, Australia",130,130
Catholic Healthcare St Catherine's Aged Care,Catholic Healthcare St Catherine's Aged Care,"51 GORMANS HILL ROAD, GORMANS HILL, NSW, 2795","51 Gormans Hill Rd, Gormans Hill NSW 2795, Australia",130,130
Ozcare Noosa Heads,Ozcare Noosa Heads,"80 Cooyar STREET, NOOSA HEADS, QLD, 4567","80 Cooyar St, Noosa Heads QLD 4567, Australia",130,130
St Mary's Coolum Beach,St Mary's Coolum Beach,"17 Magenta DRIVE, COOLUM BEACH, QLD, 4573","Amarina Nursing Home, 17 Magenta Dr, Coolum Beach QLD 4573, Australia",130,130
Woods Point Aged Care,Mercy Place Yarrawonga Woods Point,"75-85 Orr STREET, YARRAWONGA, VIC, 3730","75-85 Orr St, Yarrawonga VIC 3730, Australia",130,130
Pines Living,Pines Living,"272 Beasley STREET, FARRER, ACT, 2607","272 Beasley St, Farrer ACT 2607, Australia",130,130
Bolton Clarke Pemulwuy,Bolton Clarke Pemulwuy,"11 Pastoral CIRCUIT, PEMULWUY, NSW, 2145","11 Pastoral Cct, Pemulwuy NSW 2145, Australia",130,130
Aurrum Plenty,Estia Health Plenty,"321-327 Diamond Creek ROAD, PLENTY, VIC, 3090","321-327 Diamond Creek Rd, Plenty VIC 3090, Australia",130,130
Diamond Creek Care Community,Diamond Creek Care Community,"UNKNOWN 2, 203 Broadgully ROAD, DIAMOND CREEK, VIC, 3089","203 Broad Gully Rd, Diamond Creek VIC 3089, Australia",130,130
Boronia House,Boronia House,"183-197 Boronia ROAD, ST MARYS, NSW, 2760","183-197 Boronia Rd, North St Marys NSW 2760, Australia",130,130
Regis Rosebud,Regis Rosebud,"1 Wyuna STREET, CAPEL SOUND, VIC, 3940","1 Wyuna St, Capel Sound VIC 3940, Australia",129,129
Lyndoch Hostel,Lyndoch Hostel,"Hopkins Road, Hopkins ROAD, WARRNAMBOOL, VIC, 3280","Lyndoch, 10 Hopkins Rd, Warrnambool VIC 3280, Australia",129,129
Dr Mary Surveyor Centre,Dr Mary Surveyor Centre,"18 Hocking ROAD, KINGSLEY, WA, 6026","18 Hocking Rd, Kingsley WA 6026, Australia",129,129
Racecourse Grange Residential Care,Racecourse Grange Residential Care,"428-430 Racecourse ROAD, MORNINGTON, VIC, 3931","428 Racecourse Rd, Mornington VIC 3931, Australia",129,129
Anglicare Warrina Residential Care,Anglicare Warrina Residential Care,"2 Hilliard DRIVE, CASTLE HILL, NSW, 2154","17 Hilliard Dr, Castle Hill NSW 2154, Australia",128,128
Anglicare Donington Court,Anglicare Donington Court,"1 Clarke DRIVE, CASTLE HILL, NSW, 2154","43 Clarke Dr, Castle Hill NSW 2154, Australia",128,128
Anglican Care C A Brown,Anglican Care C A Brown,"87 Toronto ROAD, BOORAGUL, NSW, 2284","Toronto Rd, Booragul NSW 2284, Australia",128,128
Calvary Kingston Gardens,Calvary Kingston Gardens,"173-213 Clarke ROAD, SPRINGVALE SOUTH, VIC, 3172","201 Clarke Rd, Springvale South VIC 3172, Australia",128,128
Vasey RSL Care Brighton East,Vasey RSL Care Brighton East,"709-723 Hawthorn ROAD, BRIGHTON EAST, VIC, 3187","709-723 Hawthorn Rd, Brighton East VIC 3187, Australia",128,128
Beauaraba Lodge,Beauaraba Lodge,"10 Weale STREET, PITTSWORTH, QLD, 4356","Beauaraba Living, 10 Weale St, Pittsworth QLD 4356, Australia",128,128
Maranatha Aged Care,Maranatha Aged Care,"1582 Anzac AVENUE, KALLANGUR, QLD, 4503","1582 Anzac Ave, Kallangur QLD 4503, Australia",128,128
Ashmore Gardens Care Community,Ashmore Gardens Care Community,"100 Wardoo STREET, ASHMORE, QLD, 4214","100 Wardoo St, Ashmore QLD 4214, Australia",128,128
Blue Care Carina Aged Care Facility,Blue Care Carina Aged Care Facility,"455 Richmond ROAD, CARINA, QLD, 4152","455 Richmond Rd, Carina QLD 4152, Australia",128,128
Ozcare Bakhita Villa Aged Care Facility,Ozcare Bakhita Villa Aged Care Facility,"169 Seventeen Mile Rocks ROAD, OXLEY, QLD, 4075","Unit 1/169 Seventeen Mile Rocks Rd, Oxley QLD 4075, Australia",128,128
The Cairns Aged Care Plus Centre at Chapel Hill,The Cairns Aged Care Plus Centre at Chapel Hill,"730 Moggill ROAD, CHAPEL HILL, QLD, 4069","730 Moggill Rd, Chapel Hill QLD 4069, Australia",128,128
Amaroo Village Buckley Caring Centre,Amaroo Village Buckley Caring Centre,"60 Stalker ROAD, GOSNELLS, WA, 6110","60 Stalker Rd, Gosnells WA 6110, Australia",128,128
Marine Views Cottesloe,Marine Views Cottesloe,"40 Marine PARADE, COTTESLOE, WA, 6011","40 Marine Parade, Cottesloe WA 6011, Australia",128,128
BaptistCare Orana Centre,BaptistCare Orana Centre,"193-201 Brisbane Water DRIVE, POINT CLARE, NSW, 2250","193-201 Brisbane Water Dr, Point Clare NSW 2250, Australia",128,128
Berrinba Greens Care Community,Berrinba Greens Care Community,"1-15 Greenfern DRIVE, BROWNS PLAINS, QLD, 4118","Domain Greenfern Place, 1-15 Greenfern Dr, Browns Plains QLD 4118, Australia",128,128
Redland Residential Care Facility,Redland Residential Care Facility,"3 Weippin STREET, CLEVELAND, QLD, 4163","3 Weippin St, Cleveland QLD 4163, Australia",128,128
Bolton Clarke Princeton View,Bolton Clarke Princeton View,"29 Heathfield ROAD, BRIGHTON EAST, VIC, 3187","Princeton View Aged Care, 29 Heathfield Rd, Brighton East VIC 3187, Australia",128,128
New Auckland Place,New Auckland Place,"18 Wicks STREET, NEW AUCKLAND, QLD, 4680","New Auckland Place, 18 Wicks St, New Auckland QLD 4680, Australia",128,128
The Royce Manor,The Royce Manor,"123-135 Mulgoa ROAD, PENRITH, NSW, 2750","1 Royce Wy, Penrith NSW 2750, Australia",128,128
Toongabbie Terrace Care Community,Toongabbie Terrace Care Community,"4-8 Wentworth AVENUE, TOONGABBIE, NSW, 2146","3 Wentworth Ave, Toongabbie NSW 2146, Australia",128,128
The Village by Scalabrini,The Village by Scalabrini,"5 Mary STREET, DRUMMOYNE, NSW, 2047","5 Mary St, Drummoyne NSW 2047, Australia",128,128
Brightwater Inglewood,Brightwater Inglewood,"2 A Walter ROAD,  WEST, INGLEWOOD, WA, 6052","2A Walter Rd W, Inglewood WA 6052, Australia",128,128
NA,Mercy Place Mentone,NA,"101 Collins St, Mentone VIC 3194, Australia",NA,128
Anglicare Mildred Symons House,Anglicare Mildred Symons House,"15 Lenna PLACE, JANNALI, NSW, 2226","15 Lenna Pl, Jannali NSW 2226, Australia",127,127
Quakers Hillside Care Community,Quakers Hillside Care Community,"35 Hambledon ROAD, QUAKERS HILL, NSW, 2763","Nursing Home, 35 Hambledon Rd, Quakers Hill NSW 2763, Australia",127,127
Baptcare - Westhaven Community,Baptcare - Westhaven Community,"50 Pickett STREET, FOOTSCRAY, VIC, 3011","50 Pickett St, Footscray VIC 3011, Australia",127,127
Regis Kirwan,Regis Kirwan,"1 Emerald STREET, KIRWAN, QLD, 4817","1 Emerald St, Kirwan QLD 4817, Australia",127,127
TriCare Pimpama Aged Care Residence,TriCare Pimpama Aged Care Residence,"6 ANEMBO AVENUE, PIMPAMA, QLD, 4209","Tricare Pimpama Nursing Home, 6 Anembo Ave, Pimpama QLD 4209, Australia",127,127
Eldercare The Lodge,Eldercare The Lodge,"14-22 King William ROAD, WAYVILLE, SA, 5034","14-24 King William Rd, Wayville SA 5034, Australia",127,127
Estia Health Encounter Bay,Estia Health Encounter Bay,"150 BAY ROAD, ENCOUNTER BAY, SA, 5211","150 Bay Rd, Encounter Bay SA 5211, Australia",127,127
Regis Greenmount,Regis Greenmount,"22 Coongan AVENUE, GREENMOUNT, WA, 6056","22 Coongan Ave, Greenmount WA 6056, Australia",127,127
Bupa Caulfield,Bupa Caulfield,"349-351a North ROAD, CAULFIELD SOUTH, VIC, 3162","349-351a North Rd, Caulfield South VIC 3162, Australia",127,127
Catholic Healthcare Holy Spirit Croydon,Catholic Healthcare Holy Spirit Croydon,"6 Brighton STREET, CROYDON, NSW, 2132","6 Brighton St, Croydon NSW 2132, Australia",127,127
Elizabeth Jenkins Place Aged Care Plus Centre,Elizabeth Jenkins Place Aged Care Plus Centre,"8 Homestead AVENUE, COLLAROY, NSW, 2097","8 Homestead Ave, Collaroy NSW 2097, Australia",126,126
The Manor Fairfield East,The Manor Fairfield East,"91 Bligh STREET, FAIRFIELD, NSW, 2165","91 Bligh St, Fairfield East NSW 2165, Australia",126,126
Craigcare Plumpton Villa,Craigcare Plumpton Villa,"7 Lewis STREET, GLENROY, VIC, 3046","CraigCare Plumpton Villa, 7 Lewis St, Glenroy VIC 3046, Australia",126,126
Nazareth House Wynnum,Nazareth House Wynnum,"272 Wynnum ROAD, WYNNUM, QLD, 4178","272 Wynnum N Rd, Wynnum QLD 4178, Australia",126,126
Bolton Clarke Galleon Gardens,Bolton Clarke Galleon Gardens,"126-138 Galleon WAY, CURRUMBIN WATERS, QLD, 4223","126-138 Galleon Way, Currumbin Waters QLD 4223, Australia",126,126
Gawler Hillside Care Community,Gawler Hillside Care Community,"1 Duffield STREET, GAWLER EAST, SA, 5118","3 Duffield St, Gawler East SA 5118, Australia",126,126
Howard Solomon Aged Care Facility,Howard Solomon Residential Care,"91 Hybanthus ROAD, FERNDALE, WA, 6148","91 Hybanthus Rd, Ferndale WA 6148, Australia",126,126
MercyCare Wembley Catherine McAuley,MercyCare Wembley Catherine McAuley,"18 Barrett STREET, WEMBLEY, WA, 6014","Mercy Village, 18 Barrett St, Wembley WA 6014, Australia",126,126
Peacehaven,Peacehaven,"185 Penquite ROAD, NORWOOD, TAS, 7250","Masonic Garden Village, 185 Penquite Rd, Norwood TAS 7250, Australia",126,126
Bolton Clarke Coastal Waters (PKA - Coastal Waters Aged Care),Bolton Clarke Coastal Waters (PKA - Coastal Waters),"100 The Wool ROAD, WORROWING HEIGHTS, NSW, 2540","100 The Wool Rd, Worrowing Heights NSW 2540, Australia",126,126
ACH Group Residential Care - Highercombe,ACH Group Residential Care - Highercombe,"Sirius AVENUE, HOPE VALLEY, SA, 5090","Sirius Ave, Hope Valley SA 5090, Australia",126,126
Estia Health Maroochydore,Estia Health Maroochydore,"2 Amity AVENUE, MAROOCHYDORE, QLD, 4558","2-6 Amity Ave, Maroochydore QLD 4558, Australia",126,126
TriCare Williams Landing Aged Care Residence,TriCare Williams Landing Aged Care Residence,"16 Charsworth WAY, WILLIAMS LANDING, VIC, 3027","16 Charsworth Wy, Williams Landing VIC 3027, Australia",126,126
Orana Gardens,Orana Gardens,"2 Charles CRESCENT, DUBBO, NSW, 2830","81 Windsor Parade, Dubbo NSW 2830, Australia",125,125
IRT Berala on the Park,IRT Berala on the Park,"13-19 St Johns AVENUE, AUBURN, NSW, 2144","Berala On The Park, 13-19 St Johns Ave, Auburn NSW 2144, Australia",125,125
Villa Maria Centre,Villa Maria Centre,"171 St Pauls TERRACE, FORTITUDE VALLEY, QLD, 4006","171 St Pauls Ter, Fortitude Valley QLD 4006, Australia",125,125
Wongaburra Garden Settlement Hostel,Wongaburra Garden Settlement Hostel,"210 Brisbane STREET, BEAUDESERT, QLD, 4285","Wongaburra Gdn Settlement, 210-218 Brisbane St, Beaudesert QLD 4285, Australia",125,125
Regis Playford,Regis Playford,"1 Wilton STREET, DAVOREN PARK, SA, 5113","1 Wilton St, Davoren Park SA 5113, Australia",125,125
Anthem,Anthem,"25 Retford ROAD, BOWRAL, NSW, 2576","19 Retford Rd, Bowral NSW 2576, Australia",125,125
